,gene.shannon,group,Time,species.shannon,metaphlan2.shannon
V1-102100055,10.2009804511624,1,base,0.98481553364128,0.892171191793486
V1-102100056,10.5715517737923,1,base,2.30957898704015,2.14989128871894
V1-102100057,11.1242094002296,2,base,2.37636677611083,2.2716246273103
V1-102100058,10.9008604209496,2,base,2.17482507654537,1.76929843040283
V1-102100059,11.9343588706587,2,base,2.02646583898787,2.89494995388578
V1-102100060,11.0799018068082,2,base,2.45084868586216,2.69826961808477
V1-102100061,11.4050594976792,2,base,1.92992328938592,2.24827884053897
V1-102100062,11.4332646495507,1,base,2.438467828411,2.75527339606689
V1-102100063,11.5697280247953,1,base,2.03783532730754,2.74838919512922
V1-102100064,10.2853572314391,1,base,2.1671100138183,1.81227126251424
V1-102100065A,9.41263007805323,2,base,0.937539169421284,0.532750208416721
V1-102100066,11.0560403771935,1,base,2.28881765927861,2.28608253661449
V1-102100067,9.69991068292535,2,base,1.22907901365581,1.34101016804235
V1-102100069,11.4167069046209,2,base,1.49219220808548,2.59248880125144
V1-102100070,10.3862604213372,1,base,2.04440719624994,1.66725783925944
V1-102100071,11.9798708595062,1,base,2.1782294058088,3.02198659241098
V1-102100072,11.597568311656,1,base,1.93566678382809,2.9211497262626
V1-102100073,11.6287333827626,1,base,2.50215451620836,3.04401890422707
V1-102100074,11.9379385789961,2,base,1.92342576598151,2.96306589555022
V1-102100075,11.4382055966935,1,base,1.94438180347366,2.62217523807952
V1-102100076,10.9097819611829,2,base,2.15233430302787,2.45879395413551
V1-102100077,10.4872316273818,1,base,1.93690218670833,1.45713288393779
V1-102100078,11.0225928557047,2,base,2.26067903090162,2.43420450173369
V1-102100079,11.417595949674,2,base,1.82230641044987,2.33881410098669
V1-102100080r,11.8751533682097,2,base,1.74566333312061,2.53167307485282
V1-102100082,10.3075645834486,2,base,2.07034772767569,2.58824919339223
V1-102100083,11.6028895646907,1,base,2.32750627167621,2.66089351915566
V1-102100084,11.705791576572,2,base,2.07048396567228,2.76350011649122
V1-102100085,11.8048528793014,1,base,2.01706994851454,2.95433281275641
V1-102100086,10.9144068013443,1,base,2.01614533836761,2.1452427746206
V1-102100087,11.8982024319495,1,base,2.23871782892334,2.81854568370699
V1-102100088A,9.42863944963291,2,base,0.851345986774773,1.17771627134296
V1-102100089,11.6427145684657,2,base,2.08188429800447,2.79519245023992
V1-102100090,11.1265255922663,1,base,1.95036088703643,2.38315463083037
V1-102100091,10.4847363036216,2,base,2.0266086300926,1.92089817097888
